0,1,2
0,2,3
0,3,4
0,4,5
0,6,7
0,7,8
0,8,9
0,9,10
0,11,12
0,12,13
0,13,14
0,14,15
0,16,17
0,17,18
0,18,19
0,19,20
0,21,22
0,22,23
0,23,24
0,24,25
0,26,27
0,27,28
0,28,29
0,29,30
0,31,32
0,32,33
0,33,34
0,34,35
0,36,37
0,37,38
0,38,39
0,39,40
0,41,42
0,42,43
0,43,44
0,44,45
0,46,47
0,47,48
0,48,49
0,49,50
0,51,52
0,52,53
0,53,54
0,54,55
0,56,57
0,57,58
0,58,59
0,59,60
0,61,62
0,62,63
0,63,64
0,64,65
0,66,67
0,67,68
0,68,69
0,69,70
0,71,72
0,72,73
0,73,74
0,74,75
0,76,77
0,77,78
0,78,79
0,79,80
0,81,82
0,82,83
0,83,84
0,84,85
0,86,87
0,87,88
0,88,89
0,89,90
0,91,92
0,92,93
0,93,94
0,94,95
0,96,97
0,97,98
0,98,99
0,99,100
0,101,102
0,102,103
0,103,104
0,104,105
0,106,107
0,107,108
0,108,109
0,109,110
0,111,112
0,112,113
0,113,114
0,114,115
0,116,117
0,117,118
0,118,119
0,119,120
0,121,122
0,122,123
0,123,124
0,124,125
0,126,127
0,127,128
0,128,129
0,129,130
0,131,132
0,132,133
0,133,134
0,134,135
0,136,137
0,137,138
0,138,139
0,139,140
0,141,142
0,142,143
0,143,144
0,144,145
0,146,147
0,147,148
0,148,149
0,149,150
1,1,6
1,2,7
1,3,8
1,4,9
1,5,10
1,6,11
1,7,12
1,8,13
1,9,14
1,10,15
1,11,16
1,12,17
1,13,18
1,14,19
1,15,20
1,16,21
1,17,22
1,18,23
1,19,24
1,20,25
1,26,31
1,27,32
1,28,33
1,29,34
1,30,35
1,31,36
1,32,37
1,33,38
1,34,39
1,35,40
1,36,41
1,37,42
1,38,43
1,39,44
1,40,45
1,41,46
1,42,47
1,43,48
1,44,49
1,45,50
1,51,56
1,52,57
1,53,58
1,54,59
1,55,60
1,56,61
1,57,62
1,58,63
1,59,64
1,60,65
1,61,66
1,62,67
1,63,68
1,64,69
1,65,70
1,66,71
1,67,72
1,68,73
1,69,74
1,70,75
1,76,81
1,77,82
1,78,83
1,79,84
1,80,85
1,81,86
1,82,87
1,83,88
1,84,89
1,85,90
1,86,91
1,87,92
1,88,93
1,89,94
1,90,95
1,91,96
1,92,97
1,93,98
1,94,99
1,95,100
1,101,106
1,102,107
1,103,108
1,104,109
1,105,110
1,106,111
1,107,112
1,108,113
1,109,114
1,110,115
1,111,116
1,112,117
1,113,118
1,114,119
1,115,120
1,116,121
1,117,122
1,118,123
1,119,124
1,120,125
1,126,131
1,127,132
1,128,133
1,129,134
1,130,135
1,131,136
1,132,137
1,133,138
1,134,139
1,135,140
1,136,141
1,137,142
1,138,143
1,139,144
1,140,145
1,141,146
1,142,147
1,143,148
1,144,149
1,145,150
2,1,26
2,2,27
2,3,28
2,4,29
2,5,30
2,6,31
2,7,32
2,8,33
2,9,34
2,10,35
2,11,36
2,12,37
2,13,38
2,14,39
2,15,40
2,16,41
2,17,42
2,18,43
2,19,44
2,20,45
2,21,46
2,22,47
2,23,48
2,24,49
2,25,50
2,26,51
2,27,52
2,28,53
2,29,54
2,30,55
2,31,56
2,32,57
2,33,58
2,34,59
2,35,60
2,36,61
2,37,62
2,38,63
2,39,64
2,40,65
2,41,66
2,42,67
2,43,68
2,44,69
2,45,70
2,46,71
2,47,72
2,48,73
2,49,74
2,50,75
2,51,76
2,52,77
2,53,78
2,54,79
2,55,80
2,56,81
2,57,82
2,58,83
2,59,84
2,60,85
2,61,86
2,62,87
2,63,88
2,64,89
2,65,90
2,66,91
2,67,92
2,68,93
2,69,94
2,70,95
2,71,96
2,72,97
2,73,98
2,74,99
2,75,100
2,76,101
2,77,102
2,78,103
2,79,104
2,80,105
2,81,106
2,82,107
2,83,108
2,84,109
2,85,110
2,86,111
2,87,112
2,88,113
2,89,114
2,90,115
2,91,116
2,92,117
2,93,118
2,94,119
2,95,120
2,96,121
2,97,122
2,98,123
2,99,124
2,100,125
2,101,126
2,102,127
2,103,128
2,104,129
2,105,130
2,106,131
2,107,132
2,108,133
2,109,134
2,110,135
2,111,136
2,112,137
2,113,138
2,114,139
2,115,140
2,116,141
2,117,142
2,118,143
2,119,144
2,120,145
2,121,146
2,122,147
2,123,148
2,124,149
2,125,150
3,1,7
3,2,6
3,2,8
3,3,7
3,3,9
3,4,8
3,4,10
3,5,9
3,6,12
3,7,11
3,7,13
3,8,12
3,8,14
3,9,13
3,9,15
3,10,14
3,11,17
3,12,16
3,12,18
3,13,17
3,13,19
3,14,18
3,14,20
3,15,19
3,16,22
3,17,21
3,17,23
3,18,22
3,18,24
3,19,23
3,19,25
3,20,24
3,26,32
3,27,31
3,27,33
3,28,32
3,28,34
3,29,33
3,29,35
3,30,34
3,31,37
3,32,36
3,32,38
3,33,37
3,33,39
3,34,38
3,34,40
3,35,39
3,36,42
3,37,41
3,37,43
3,38,42
3,38,44
3,39,43
3,39,45
3,40,44
3,41,47
3,42,46
3,42,48
3,43,47
3,43,49
3,44,48
3,44,50
3,45,49
3,51,57
3,52,56
3,52,58
3,53,57
3,53,59
3,54,58
3,54,60
3,55,59
3,56,62
3,57,61
3,57,63
3,58,62
3,58,64
3,59,63
3,59,65
3,60,64
3,61,67
3,62,66
3,62,68
3,63,67
3,63,69
3,64,68
3,64,70
3,65,69
3,66,72
3,67,71
3,67,73
3,68,72
3,68,74
3,69,73
3,69,75
3,70,74
3,76,82
3,77,81
3,77,83
3,78,82
3,78,84
3,79,83
3,79,85
3,80,84
3,81,87
3,82,86
3,82,88
3,83,87
3,83,89
3,84,88
3,84,90
3,85,89
3,86,92
3,87,91
3,87,93
3,88,92
3,88,94
3,89,93
3,89,95
3,90,94
3,91,97
3,92,96
3,92,98
3,93,97
3,93,99
3,94,98
3,94,100
3,95,99
3,101,107
3,102,106
3,102,108
3,103,107
3,103,109
3,104,108
3,104,110
3,105,109
3,106,112
3,107,111
3,107,113
3,108,112
3,108,114
3,109,113
3,109,115
3,110,114
3,111,117
3,112,116
3,112,118
3,113,117
3,113,119
3,114,118
3,114,120
3,115,119
3,116,122
3,117,121
3,117,123
3,118,122
3,118,124
3,119,123
3,119,125
3,120,124
3,126,132
3,127,131
3,127,133
3,128,132
3,128,134
3,129,133
3,129,135
3,130,134
3,131,137
3,132,136
3,132,138
3,133,137
3,133,139
3,134,138
3,134,140
3,135,139
3,136,142
3,137,141
3,137,143
3,138,142
3,138,144
3,139,143
3,139,145
3,140,144
3,141,147
3,142,146
3,142,148
3,143,147
3,143,149
3,144,148
3,144,150
3,145,149
4,1,27
4,2,26
4,2,28
4,3,27
4,3,29
4,4,28
4,4,30
4,5,29
4,26,52
4,27,51
4,27,53
4,28,52
4,28,54
4,29,53
4,29,55
4,30,54
4,51,77
4,52,76
4,52,78
4,53,77
4,53,79
4,54,78
4,54,80
4,55,79
4,76,102
4,77,101
4,77,103
4,78,102
4,78,104
4,79,103
4,79,105
4,80,104
4,101,127
4,102,126
4,102,128
4,103,127
4,103,129
4,104,128
4,104,130
4,105,129
4,6,32
4,7,31
4,7,33
4,8,32
4,8,34
4,9,33
4,9,35
4,10,34
4,31,57
4,32,56
4,32,58
4,33,57
4,33,59
4,34,58
4,34,60
4,35,59
4,56,82
4,57,81
4,57,83
4,58,82
4,58,84
4,59,83
4,59,85
4,60,84
4,81,107
4,82,106
4,82,108
4,83,107
4,83,109
4,84,108
4,84,110
4,85,109
4,106,132
4,107,131
4,107,133
4,108,132
4,108,134
4,109,133
4,109,135
4,110,134
4,11,37
4,12,36
4,12,38
4,13,37
4,13,39
4,14,38
4,14,40
4,15,39
4,36,62
4,37,61
4,37,63
4,38,62
4,38,64
4,39,63
4,39,65
4,40,64
4,61,87
4,62,86
4,62,88
4,63,87
4,63,89
4,64,88
4,64,90
4,65,89
4,86,112
4,87,111
4,87,113
4,88,112
4,88,114
4,89,113
4,89,115
4,90,114
4,111,137
4,112,136
4,112,138
4,113,137
4,113,139
4,114,138
4,114,140
4,115,139
4,16,42
4,17,41
4,17,43
4,18,42
4,18,44
4,19,43
4,19,45
4,20,44
4,41,67
4,42,66
4,42,68
4,43,67
4,43,69
4,44,68
4,44,70
4,45,69
4,66,92
4,67,91
4,67,93
4,68,92
4,68,94
4,69,93
4,69,95
4,70,94
4,91,117
4,92,116
4,92,118
4,93,117
4,93,119
4,94,118
4,94,120
4,95,119
4,116,142
4,117,141
4,117,143
4,118,142
4,118,144
4,119,143
4,119,145
4,120,144
4,21,47
4,22,46
4,22,48
4,23,47
4,23,49
4,24,48
4,24,50
4,25,49
4,46,72
4,47,71
4,47,73
4,48,72
4,48,74
4,49,73
4,49,75
4,50,74
4,71,97
4,72,96
4,72,98
4,73,97
4,73,99
4,74,98
4,74,100
4,75,99
4,96,122
4,97,121
4,97,123
4,98,122
4,98,124
4,99,123
4,99,125
4,100,124
4,121,147
4,122,146
4,122,148
4,123,147
4,123,149
4,124,148
4,124,150
4,125,149
5,1,31
5,6,26
5,6,36
5,11,31
5,11,41
5,16,36
5,16,46
5,21,41
5,26,56
5,31,51
5,31,61
5,36,56
5,36,66
5,41,61
5,41,71
5,46,66
5,51,81
5,56,76
5,56,86
5,61,81
5,61,91
5,66,86
5,66,96
5,71,91
5,76,106
5,81,101
5,81,111
5,86,106
5,86,116
5,91,111
5,91,121
5,96,116
5,101,131
5,106,126
5,106,136
5,111,131
5,111,141
5,116,136
5,116,146
5,121,141
5,2,32
5,7,27
5,7,37
5,12,32
5,12,42
5,17,37
5,17,47
